bband,area_code,NetC_meas,NetC_sd,Dialup,LGA_Name,bband_meas,PvtBband,Tech_sd,state,OtherConn,bband_sd,NetC_rank,Tech_rank,TotalConn,bband_rank
212,56450,0.644,0.69,12,Narrogin (S),0.728,209,0.18,WA,13,0.94,156,190,368,87
864,56520,0.505,-0.37,59,Narrogin (T),0.551,847,-0.51,WA,69,-0.59,376,411,1964,458
5880,56580,0.771,1.66,169,Nedlands (C),0.828,5814,1.63,WA,167,1.8,11,34,8065,5
127,56620,0.296,-1.97,16,Ngaanyatjarraku (S),0.298,103,-1.62,WA,13,-2.78,537,544,527,532
2327,56730,0.554,0,150,Northam (S),0.689,1001,0.02,WA,169,0.6,276,217,4780,142
908,56790,0.398,-1.19,81,Northampton (S),0.578,735,-0.76,WA,79,-0.36,494,481,2684,389
52,56860,0.504,-0.38,4,Nungarin (S),0.621,54,-0.43,WA,9,0.01,381,373,129,291
405,56930,0.753,1.53,15,Peppermint Grove (S),0.834,407,1.33,WA,18,1.85,18,51,582,2
131,57000,0.514,-0.31,10,Perenjori (S),0.661,127,-0.18,WA,9,0.36,358,279,292,195
5655,57080,0.605,0.4,213,Perth (C),0.742,5424,1.68,WA,777,1.05,202,28,10975,67
260,57140,0.469,-0.65,15,Pingelly (S),0.566,256,-0.72,WA,13,-0.46,440,470,614,414
1139,57210,0.54,-0.1,76,Plantagenet (S),0.623,1124,-0.29,WA,84,0.03,311,318,2405,284
2834,57280,0.53,-0.18,107,Port Hedland (T),0.708,2631,0.04,WA,272,0.76,331,213,6064,111
246,57350,0.519,-0.27,28,Quairading (S),0.576,242,-0.58,WA,19,-0.38,351,433,565,391
513,57420,0.419,-1.03,25,Ravensthorpe (S),0.681,488,-0.23,WA,41,0.53,481,296,1382,158
26233,57490,0.686,1.01,1136,Rockingham (C),0.72,26039,0.65,WA,1752,0.87,101,122,42461,99
4590,57560,0.605,0.39,143,Roebourne (S),0.776,4100,0.46,WA,421,1.35,204,149,8519,23
35,57630,0.427,-0.97,0,Sandstone (S),0.535,23,-0.91,WA,3,-0.73,475,507,89,480
4290,57700,0.742,1.44,238,Serpentine-Jarrahdale (S),0.755,4259,0.68,WA,248,1.17,26,117,6440,52
