bband,area_code,NetC_meas,NetC_sd,Dialup,LGA_Name,bband_meas,PvtBband,Tech_sd,state,OtherConn,bband_sd,NetC_rank,Tech_rank,TotalConn,bband_rank
477,15550,0.498,-0.42,20,Murrumbidgee (A),0.561,469,-0.61,NSW,41,-0.51,393,449,1080,429
3630,15650,0.608,0.42,183,Muswellbrook (A),0.645,3568,-0.04,NSW,270,0.22,198,235,6711,231
4531,15700,0.55,-0.03,322,Nambucca (A),0.588,4476,-0.24,NSW,206,-0.28,288,298,9197,368
2735,15750,0.524,-0.23,144,Narrabri (A),0.559,2672,-0.27,NSW,238,-0.53,342,312,5951,435
1197,15800,0.483,-0.54,57,Narrandera (A),0.525,1180,-0.65,NSW,105,-0.81,424,458,2814,493
1366,15850,0.527,-0.21,89,Narromine (A),0.553,1355,-0.45,NSW,93,-0.58,338,382,2940,447
39118,15900,0.651,0.75,1490,Newcastle (C),0.663,38764,0.55,NSW,2337,0.38,144,134,65935,189
23231,15950,0.736,1.4,681,North Sydney (A),0.804,22862,2.94,NSW,1806,1.59,33,1,34956,11
1157,16100,0.507,-0.35,73,Oberon (A),0.604,1139,-0.25,NSW,71,-0.13,369,301,2565,327
8856,16150,0.621,0.51,447,Orange (C),0.63,8732,0.18,NSW,633,0.09,187,192,16012,264
3749,16180,0.69,1.05,223,Palerang (A),0.763,3688,1.42,NSW,162,1.24,98,42,5992,40
3108,16200,0.538,-0.12,209,Parkes (A),0.567,3065,-0.28,NSW,209,-0.45,316,316,6553,411
41539,16250,0.706,1.17,1371,Parramatta (C),0.728,41283,1.55,NSW,1951,0.94,71,37,63564,88
43113,16350,0.722,1.29,1450,Penrith (C),0.724,42979,0.76,NSW,2249,0.9,52,104,64832,95
16044,16370,0.732,1.37,560,Pittwater (A),0.804,15891,1.68,NSW,569,1.59,43,30,23447,12
18861,16380,0.611,0.44,1048,Port Macquarie-Hastings (A),0.626,11455,0.15,NSW,937,0.05,192,195,34121,273
16283,16400,0.588,0.26,839,Port Stephens (A),0.673,16135,0.23,NSW,842,0.46,224,183,30571,171
10110,16470,0.698,1.11,402,Queanbeyan (C),0.709,10005,1.33,NSW,752,0.77,82,52,16130,110
35647,16550,0.702,1.14,1183,Randwick (C),0.741,35232,1.53,NSW,2167,1.05,76,40,55558,68
4798,16610,0.543,-0.08,322,Richmond Valley (A),0.553,4683,-0.36,NSW,327,-0.57,304,344,10038,445
24127,16650,0.675,0.93,924,Rockdale (C),0.697,23972,1.09,NSW,1172,0.66,114,72,38859,130
29122,16700,0.745,1.47,848,Ryde (C),0.767,28896,2.17,NSW,1130,1.27,25,10,41753,32
15207,16900,0.683,0.99,751,Shellharbour (C),0.674,15127,0.4,NSW,772,0.47,106,159,24497,170
22644,16950,0.496,-0.44,1645,Shoalhaven (C),0.624,22423,-0.11,NSW,1233,0.04,399,251,51492,280
5488,17000,0.67,0.89,250,Singleton (A),0.699,5420,0.21,NSW,338,0.68,121,186,9074,126
1809,17050,0.406,-1.13,115,Snowy River (A),0.684,1616,-0.21,NSW,249,0.55,486,289,5353,151
8776,17100,0.733,1.38,239,Strathfield (A),0.767,8722,1.82,NSW,329,1.27,40,23,12744,33
57752,17150,0.75,1.51,2030,Sutherland Shire (A),0.763,57499,1.28,NSW,2334,1.24,19,56,82776,38
56528,17200,0.667,0.87,1650,Sydney (C),0.755,55214,2.11,NSW,5066,1.16,124,11,94785,53
12945,17310,0.595,0.32,725,Tamworth Regional (A),0.607,12835,-0.02,NSW,801,-0.11,215,227,24324,318
1286,17350,0.518,-0.27,73,Temora (A),0.554,1269,-0.37,NSW,71,-0.57,353,347,2759,443
1486,17400,0.465,-0.68,112,Tenterfield (A),0.544,1461,-0.6,NSW,72,-0.65,447,443,3592,465
45402,17420,0.833,2.14,1156,The Hills Shire (A),0.668,1344,1.75,NSW,1085,0.42,1,26,57211,179
747,17450,0.485,-0.53,48,Tumbarumba (A),0.273,734,-1.27,NSW,45,-2.99,421,532,1732,533
2433,17500,0.508,-0.35,147,Tumut Shire (A),0.572,2403,-0.36,NSW,161,-0.41,368,342,5400,400
21874,17550,0.61,0.43,1335,Tweed (A),0.636,21407,0.12,NSW,1288,0.14,194,198,40159,251
3237,17620,0.556,0.02,180,Upper Hunter Shire (A),0.608,3188,-0.25,NSW,197,-0.1,272,304,6498,316
1696,17640,0.488,-0.5,123,Upper Lachlan Shire (A),0.598,1673,-0.17,NSW,91,-0.19,415,276,3911,345
1431,17650,0.602,0.37,81,Uralla (A),0.642,1416,0.21,NSW,71,0.2,207,187,2631,238
239,17700,0.426,-0.98,21,Urana (A),0.541,240,-0.84,NSW,14,-0.68,476,493,643,472
14516,17750,0.656,0.78,672,Wagga Wagga (C),0.662,14389,0.3,NSW,1055,0.37,140,171,24773,194
872,17800,0.461,-0.71,69,Wakool (A),0.563,851,-0.65,NSW,43,-0.49,450,457,2136,423
703,17850,0.5,-0.41,38,Walcha (A),0.564,687,-0.54,NSW,46,-0.48,387,423,1573,420
1258,17900,0.38,-1.33,74,Walgett (A),0.455,1134,-1.02,NSW,139,-1.42,502,519,3869,514
571,17950,0.444,-0.84,30,Warren (A),0.51,562,-0.76,NSW,39,-0.95,467,483,1441,501
39329,18000,0.757,1.56,1283,Warringah (A),0.772,39082,1.92,NSW,1794,1.31,15,17,56014,26
2044,18020,0.484,-0.53,146,Warrumbungle Shire (A),0.552,2023,-0.55,NSW,128,-0.58,423,430,4790,448
19013,18050,0.684,1,622,Waverley (A),0.755,18781,1.93,NSW,1483,1.17,103,15,30855,51
878,18100,0.542,-0.09,76,Weddin (A),0.584,877,-0.44,NSW,42,-0.31,306,375,1839,378
1633,18150,0.48,-0.56,95,Wellington (A),0.527,1615,-0.55,NSW,105,-0.8,428,428,3819,491
1486,18200,0.537,-0.13,97,Wentworth (A),0.572,1409,-0.32,NSW,91,-0.41,318,326,3118,402
20702,18250,0.781,1.74,498,Willoughby (C),0.828,20446,2.89,NSW,712,1.8,8,2,28049,6
11817,18350,0.639,0.65,658,Wingecarribee (A),0.702,11712,0.46,NSW,536,0.71,164,150,20365,121
10240,18400,0.72,1.27,514,Wollondilly (A),0.731,10205,0.62,NSW,390,0.96,57,126,15480,80
47757,18450,0.657,0.79,2435,Wollongong (C),0.661,47433,0.56,NSW,2626,0.36,137,132,80431,197
16338,18500,0.693,1.07,515,Woollahra (A),0.787,16104,1.88,NSW,1090,1.44,96,20,25907,18
36326,18550,0.609,0.42,1663,Wyong (A),0.646,36125,0.24,NSW,1982,0.23,197,179,65666,229
3773,18710,0.684,1,180,Yass Valley (A),0.722,3737,1.21,NSW,231,0.88,104,62,6114,97
2628,18750,0.535,-0.14,145,Young (A),0.57,2604,-0.34,NSW,184,-0.43,320,334,5530,409
3100,20110,0.509,-0.34,197,Alpine (S),0.633,2999,-0.2,Vic,232,0.11,366,284,6934,258
2516,20260,0.552,-0.01,187,Ararat (RC),0.575,2492,-0.37,Vic,178,-0.38,282,349,5217,393
23441,20570,0.647,0.71,1148,Ballarat (C),0.652,23303,0.57,Vic,1577,0.28,152,128,40473,220
32228,20660,0.721,1.29,1242,Banyule (C),0.734,32065,1.37,Vic,1291,0.99,54,48,48198,76
7330,20740,0.352,-1.54,566,Bass Coast (S),0.597,7081,-0.54,Vic,623,-0.19,523,421,24179,346
10499,20830,0.635,0.62,726,Baw Baw (S),0.653,10441,0.25,Vic,647,0.29,171,176,18699,218
25971,20910,0.734,1.39,945,Bayside (C),0.774,25759,1.89,Vic,964,1.33,37,19,37962,24
3325,21010,0.565,0.08,209,Benalla (RC),0.596,3301,-0.13,Vic,210,-0.2,256,258,6632,347
46037,21110,0.76,1.58,1544,Boroondara (C),0.797,45624,2.01,Vic,1917,1.53,14,12,65156,13
38142,21180,0.638,0.65,1498,Brimbank (C),0.647,38000,0.49,Vic,2108,0.23,168,139,65423,228
1434,21270,0.482,-0.55,77,Buloke (S),0.543,1418,-0.66,Vic,68,-0.66,426,461,3279,469
8246,21370,0.569,0.12,533,Campaspe (S),0.593,8177,-0.19,Vic,531,-0.23,249,283,16370,354
18289,21450,0.716,1.25,844,Cardinia (S),0.728,18219,0.73,Vic,1023,0.93,61,110,28151,89
60635,21610,0.753,1.53,2342,Casey (C),0.751,60444,0.96,Vic,2805,1.13,17,86,87393,55
2700,21670,0.486,-0.52,215,Central Goldfields (S),0.509,2673,-0.62,Vic,152,-0.95,418,451,6312,502
4642,21750,0.466,-0.67,304,Colac-Otway (S),0.585,4595,-0.42,Vic,330,-0.3,444,370,11318,375
3684,21830,0.54,-0.1,220,Corangamite (S),0.589,3648,-0.35,Vic,239,-0.26,308,337,7667,364
34224,21890,0.643,0.69,1216,Darebin (C),0.658,33976,1.01,Vic,2206,0.33,159,78,58524,204
10305,22110,0.513,-0.31,721,East Gippsland (S),0.601,10135,-0.27,Vic,639,-0.16,360,310,22748,338
33703,22170,0.694,1.08,1363,Frankston (C),0.708,33543,0.7,Vic,1947,0.76,94,115,53327,112
2239,22250,0.493,-0.46,189,Gannawarra (S),0.532,2213,-0.57,Vic,143,-0.76,405,432,5211,485
37547,22310,0.721,1.28,1269,Glen Eira (C),0.747,37283,1.82,Vic,1751,1.1,56,22,56268,61
4724,22410,0.559,0.04,296,Glenelg (S),0.606,4672,-0.25,Vic,313,-0.12,266,305,9546,321
4610,22490,0.696,1.09,302,Golden Plains (S),0.728,4590,0.48,Vic,181,0.94,91,142,7322,86
25141,22620,0.643,0.69,1444,Greater Bendigo (C),0.653,24958,0.3,Vic,1497,0.29,158,169,43648,219
28727,22670,0.632,0.6,1273,Greater Dandenong (C),0.629,28592,0.44,Vic,1644,0.08,175,155,50100,269
53730,22750,0.625,0.55,2640,Greater Geelong (C),0.663,53377,0.39,Vic,3463,0.37,184,162,95759,191
13573,22830,0.601,0.36,730,Greater Shepparton (C),0.619,13494,0.03,Vic,894,-0.01,208,216,25283,296
3695,22910,0.518,-0.27,261,Hepburn (S),0.633,3654,0.01,Vic,236,0.11,354,220,8095,257
1269,22980,0.47,-0.64,88,Hindmarsh (S),0.538,1261,-0.61,Vic,74,-0.7,439,447,3044,475
21150,23110,0.66,0.82,931,Hobsons Bay (C),0.675,21024,0.97,Vic,1274,0.48,132,84,35392,167
4646,23190,0.591,0.29,302,Horsham (RC),0.603,4601,-0.08,Vic,317,-0.15,216,247,8902,331
37311,23270,0.705,1.16,1449,Hume (C),0.712,37186,0.67,Vic,1872,0.79,72,120,57598,106
3785,23350,0.63,0.59,215,Indigo (S),0.668,3751,0.11,Vic,172,0.42,179,201,6620,177
38219,23430,0.694,1.08,1461,Kingston (C),0.711,38025,1.15,Vic,1864,0.79,93,64,59850,108
40332,23670,0.767,1.63,1322,Knox (C),0.772,40169,1.36,Vic,1417,1.31,12,49,56170,27
17699,23810,0.61,0.43,896,Latrobe (C),0.629,17573,0.09,Vic,1221,0.08,193,206,32484,268
1613,23940,0.454,-0.76,170,Loddon (S),0.527,1602,-0.76,Vic,97,-0.8,460,482,4141,492
10873,24130,0.698,1.11,565,Macedon Ranges (S),0.743,10794,0.85,Vic,467,1.07,81,95,17047,65
29951,24210,0.749,1.5,1082,Manningham (C),0.772,29798,1.66,Vic,891,1.31,20,33,42621,28
1977,24250,0.402,-1.16,121,Mansfield (S),0.648,1935,-0.36,Vic,134,0.25,489,343,5552,224
18174,24330,0.647,0.72,630,Maribyrnong (C),0.68,17983,1.08,Vic,1322,0.52,149,73,31103,160
28916,24410,0.746,1.48,1052,Maroondah (C),0.75,28800,1.25,Vic,1312,1.13,22,58,41926,56
33229,24600,0.693,1.07,1041,Melbourne (C),0.796,30076,2.24,Vic,2773,1.52,95,9,53432,15
25954,24650,0.733,1.38,1028,Melton (S),0.739,25862,0.91,Vic,1420,1.03,41,93,38739,70
11443,24780,0.568,0.11,620,Mildura (RC),0.585,11271,-0.14,Vic,872,-0.3,250,261,22765,372
8190,24850,0.656,0.78,396,Mitchell (S),0.688,8129,0.3,Vic,492,0.59,141,170,13846,144
6297,24900,0.533,-0.16,387,Moira (S),0.582,6254,-0.32,Vic,357,-0.33,326,325,13222,384
45124,24970,0.734,1.38,1574,Monash (C),0.755,44851,1.72,Vic,1468,1.17,38,27,65617,50
28098,25060,0.666,0.86,1047,Moonee Valley (C),0.693,29618,1.12,Vic,1578,0.63,126,70,46108,135
6852,25150,0.661,0.82,394,Moorabool (S),0.676,6819,0.46,Vic,403,0.49,130,151,11579,164
37548,25250,0.652,0.76,1407,Moreland (C),0.668,37285,1.05,Vic,2371,0.41,143,76,63372,181
37402,25340,0.495,-0.45,2039,Mornington Peninsula (S),0.685,37088,0.25,Vic,1935,0.56,401,178,83623,149
4493,25430,0.581,0.21,367,Mount Alexander (S),0.626,4441,0.16,Vic,259,0.05,231,193,8814,274
3693,25490,0.543,-0.08,196,Moyne (S),0.628,3643,-0.24,Vic,243,0.07,302,297,7612,270
3262,25620,0.509,-0.34,210,Murrindindi (S),0.639,3220,-0.12,Vic,216,0.17,365,252,7239,245
16203,25710,0.817,2.02,543,Nillumbik (S),0.833,16131,1.56,Vic,437,1.84,2,35,21021,3
2707,25810,0.504,-0.38,193,Northern Grampians (S),0.563,2683,-0.49,Vic,200,-0.49,380,401,6152,424
31305,25900,0.684,1,1187,Port Phillip (C),0.732,30793,1.95,Vic,3361,0.97,105,13,52415,79
1511,25990,0.49,-0.49,131,Pyrenees (S),0.557,1498,-0.45,Vic,93,-0.54,412,381,3541,439
850,26080,0.338,-1.65,53,Queenscliffe (B),0.686,834,-0.14,Vic,36,0.57,526,260,2777,147
6587,26170,0.496,-0.44,537,South Gippsland (S),0.624,6518,-0.26,Vic,386,0.03,397,308,15133,282
3922,26260,0.553,-0.01,209,Southern Grampians (S),0.591,3865,-0.18,Vic,251,-0.25,278,277,7927,359
30123,26350,0.711,1.21,1037,Stonnington (C),0.759,29693,1.89,Vic,2340,1.21,65,18,47116,43
2262,26430,0.51,-0.33,179,Strathbogie (S),0.581,2235,-0.34,Vic,132,-0.34,363,335,5045,386
6855,26490,0.456,-0.75,322,Surf Coast (S),0.744,6738,0.25,Vic,429,1.07,457,177,16672,64
4284,26610,0.53,-0.18,271,Swan Hill (RC),0.558,4221,-0.41,Vic,311,-0.53,329,368,9175,438
1420,26670,0.519,-0.26,90,Towong (S),0.608,1409,-0.34,Vic,64,-0.1,348,333,3032,315
6533,26700,0.591,0.29,417,Wangaratta (RC),0.608,6467,-0.04,Vic,393,-0.1,218,234,12426,314
7462,26730,0.605,0.39,396,Warrnambool (C),0.614,7381,0.03,Vic,602,-0.05,203,214,13982,302
9923,26810,0.53,-0.18,631,Wellington (S),0.627,9828,-0.16,Vic,575,0.06,333,271,21011,272
992,26890,0.486,-0.52,80,West Wimmera (S),0.554,975,-0.62,Vic,50,-0.56,417,452,2309,442
41860,26980,0.727,1.33,1506,Whitehorse (C),0.75,41577,1.67,Vic,1397,1.12,46,32,61594,57
35106,27070,0.696,1.09,1312,Whittlesea (C),0.697,35002,0.71,Vic,1921,0.67,88,113,55095,128
9004,27170,0.679,0.96,376,Wodonga (RC),0.676,8938,0.42,Vic,637,0.49,110,158,14749,165
39477,27260,0.735,1.39,1473,Wyndham (C),0.744,39303,1.22,Vic,2544,1.08,36,61,59214,63
22858,27350,0.697,1.1,790,Yarra (C),0.73,22588,1.76,Vic,2091,0.95,84,25,36922,83
38070,27450,0.732,1.37,1810,Yarra Ranges (S),0.748,37902,0.92,Vic,1524,1.11,44,92,56570,59
1550,27630,0.489,-0.49,131,Yarriambiack (S),0.539,1537,-0.53,Vic,86,-0.7,414,416,3614,474
32,30250,0.162,-3,0,Aurukun (S),0.126,28,-2.3,Qld,12,-4.27,558,559,271,547
1018,30300,0.481,-0.56,42,Balonne (S),0.589,954,-0.53,Qld,84,-0.27,427,417,2380,367
3486,30370,0.569,0.12,158,Banana (S),0.648,3077,-0.18,Qld,249,0.25,248,278,6845,223
792,30410,0.466,-0.67,35,Barcaldine (R),0.623,1268,-0.49,Qld,55,0.03,443,399,1891,283
90,30450,0.379,-1.34,12,Barcoo (S),0.553,73,-0.97,Qld,3,-0.58,504,513,277,446
548,30760,0.506,-0.37,22,Blackall Tambo (R),0.658,462,-0.41,Qld,54,0.33,373,369,1234,205
90,30900,0.398,-1.19,3,Boulia (S),0.509,85,-1.02,Qld,5,-0.96,493,520,246,503
294365,31000,0.747,1.48,8985,Brisbane (C),0.766,291666,1.45,Qld,15870,1.26,21,41,427571,35
102,31750,0.444,-0.84,3,Bulloo (S),0.667,80,-0.6,Qld,7,0.41,465,440,252,184
21824,31820,0.591,0.29,1189,Bundaberg (R),0.679,20451,0.08,Qld,1272,0.51,217,209,41081,161
3966,31900,0.545,-0.06,221,Burdekin (S),0.591,3834,-0.26,Qld,225,-0.25,295,307,8090,360
110,31950,0.324,-1.76,0,Burke (S),0.573,67,-0.88,Qld,11,-0.41,529,503,373,399
41256,32070,0.647,0.72,1739,Cairns (R),0.635,38227,0.24,Qld,3027,0.13,150,181,71132,254
538,32250,0.45,-0.79,34,Carpentaria (S),0.441,284,-1,Qld,64,-1.54,461,518,1414,517
6630,32260,0.552,-0.01,409,Cassowary Coast (R),0.644,6103,-0.2,Qld,521,0.21,280,286,13688,233
7015,32270,0.584,0.23,242,Central Highlands (R),0.663,5983,-0.04,Qld,594,0.37,229,232,13447,192
2592,32310,0.525,-0.22,150,Charters Towers (R),0.435,1728,-0.73,Qld,183,-1.6,339,473,5572,518
45,32330,0.205,-2.67,7,Cherbourg (S),0.187,46,-2.04,Qld,4,-3.74,553,558,273,541
626,32450,0.479,-0.57,27,Cloncurry (S),0.579,525,-0.55,Qld,67,-0.35,430,429,1502,388
866,32500,0.42,-1.02,43,Cook (S),0.552,736,-0.72,Qld,73,-0.59,480,472,2336,452
63,32600,0.367,-1.43,3,Croydon (S),0.441,45,-1.23,Qld,13,-1.54,511,531,215,516
97,32750,0.48,-0.57,4,Diamantina (S),0.59,59,-0.69,Qld,16,-0.26,429,467,244,362
44,32770,0.313,-1.85,4,Doomadgee (S),0.169,36,-1.88,Qld,43,-3.89,534,550,291,542
289,33100,0.435,-0.9,14,Etheridge (S),0.564,194,-0.72,Qld,24,-0.48,471,469,751,419
447,33200,0.482,-0.55,17,Flinders (S),0.602,401,-0.61,Qld,22,-0.15,425,448,1009,335
24181,33220,0.597,0.34,1285,Fraser Coast (R),0.563,452,-0.14,Qld,1456,-0.49,211,259,45070,422
14510,33360,0.642,0.68,633,Gladstone (R),0.588,12037,0.21,Qld,926,-0.28,160,188,25036,369
135248,33430,0.678,0.95,5499,Gold Coast (C),0.729,144307,0.71,Qld,9224,0.95,112,114,221348,84
2277,33610,0.534,-0.15,136,Goondiwindi (R),0.518,2047,-0.48,Qld,158,-0.87,322,391,4815,497
10919,33620,0.574,0.15,820,Gympie (R),0.716,13874,0.08,Qld,745,0.83,240,208,21761,103
2717,33800,0.533,-0.16,161,Hinchinbrook (S),0.572,2567,-0.35,Qld,146,-0.41,324,339,5674,401
39,33830,0.344,-1.61,3,Hope Vale (S),0.154,35,-1.83,Qld,47,-4.02,524,548,259,546
39596,33960,0.697,1.1,1647,Ipswich (C),0.699,39711,0.57,Qld,2770,0.68,85,129,63146,124
5462,33980,0.597,0.33,175,Isaac (R),0.688,4153,-0.05,Qld,392,0.59,213,239,10104,143
51,34420,0.21,-2.63,0,Kowanyama (S),0.214,49,-2.02,Qld,6,-3.5,550,556,271,539
29,34570,0.207,-2.65,0,Lockhart River (S),0.216,24,-2.02,Qld,5,-3.48,551,557,164,538
7698,34580,0.634,0.62,430,Lockyer Valley (R),0.519,5392,-0.17,Qld,475,-0.87,173,275,13566,496
66976,34590,0.729,1.35,2669,Logan (C),0.737,45195,0.73,Qld,3691,1.01,45,109,100566,73
1148,34710,0.563,0.07,56,Longreach (R),0.409,595,-0.5,Qld,129,-1.82,258,403,2369,523
27308,34770,0.661,0.82,1223,Mackay (R),0.703,19645,0.33,Qld,1646,0.72,129,166,45666,117
216,34800,0.5,-0.41,16,McKinlay (S),0.645,194,-0.49,Qld,13,0.21,388,400,490,232
25,34830,0.4,-1.18,0,Mapoon (S),0.257,19,-1.57,Qld,15,-3.13,492,541,100,534
2912,34860,0.527,-0.2,138,Maranoa (R),0.411,1923,-0.69,Qld,212,-1.8,337,466,6189,522
97905,35010,0.718,1.26,3899,Moreton Bay (R),0.571,59494,0.49,Qld,5073,-0.42,58,140,148783,406
65,35250,0.239,-2.41,4,Mornington (S),0.235,58,-1.92,Qld,10,-3.32,547,551,331,537
4490,35300,0.574,0.16,191,Mount Isa (C),0.659,4218,-0.03,Qld,406,0.34,238,230,8865,203
1033,35600,0.493,-0.46,41,Murweh (S),0.585,968,-0.43,Qld,76,-0.3,408,372,2333,374
24,35670,0.129,-3.26,0,Napranum (S),0.098,18,-2.36,Qld,3,-4.5,559,560,210,548
2201,35760,0.457,-0.74,114,North Burnett (R),0.424,2047,-0.95,Qld,190,-1.69,456,511,5478,521
228,35780,0.377,-1.35,30,Northern Peninsula Area (R),0.63,429,-0.8,Qld,51,0.09,505,490,819,263
75,35790,0.804,1.92,6,Palm Island (S),0.193,75,-0.86,Qld,268,-3.69,4,500,434,540
408,35800,0.414,-1.07,16,Paroo (S),0.489,346,-0.98,Qld,36,-1.12,484,514,1112,507
40,36070,0.276,-2.13,4,Pormpuraaw (S),0.245,39,-1.83,Qld,10,-3.23,540,547,196,535
254,36150,0.417,-1.04,11,Quilpie (S),0.612,232,-0.71,Qld,13,-0.07,482,468,666,307
37209,36250,0.726,1.32,1368,Redland (C),0.652,32744,0.72,Qld,1669,0.28,50,112,55452,221
204,36300,0.485,-0.53,11,Richmond (S),0.567,178,-0.69,Qld,21,-0.46,422,465,487,413
25719,36360,0.606,0.4,1301,Rockhampton (R),0.642,25838,0.13,Qld,1614,0.19,201,197,47229,239
9076,36510,0.636,0.63,510,Scenic Rim (R),0.575,6342,0.06,Qld,497,-0.39,170,212,15849,394
5002,36580,0.588,0.27,299,Somerset (R),0.625,4781,-0.05,Qld,308,0.05,221,240,9533,277
7166,36630,0.551,-0.02,444,South Burnett (R),0.702,7292,-0.02,Qld,461,0.71,285,228,14659,118
7693,36660,0.56,0.05,533,Southern Downs (R),0.69,6464,0,Qld,533,0.6,263,224,15630,140
86971,36710,0.67,0.89,3806,Sunshine Coast (R),0.68,84745,0.46,Qld,4652,0.52,120,152,142452,159
10211,36810,0.565,0.09,669,Tablelands (R),0.66,10741,-0.05,Qld,641,0.34,254,242,20374,199
37170,36910,0.65,0.74,1768,Toowoomba (R),0.724,38932,0.42,Qld,2150,0.9,145,157,63206,94
425,36950,0.438,-0.89,23,Torres (S),0.479,391,-0.9,Qld,50,-1.21,470,506,1138,511
143,36960,0.32,-1.79,34,Torres Strait Island (R),0.532,527,-1.11,Qld,216,-0.76,531,524,1228,483
44273,37010,0.67,0.89,1837,Townsville (C),0.691,25972,0.47,Qld,2738,0.61,122,145,72959,138
816,37300,0.645,0.7,29,Weipa (T),0.764,764,0.26,Qld,70,1.25,154,175,1419,36
6860,37310,0.542,-0.09,364,Western Downs (R),0.509,5283,-0.46,Qld,517,-0.96,305,383,14284,504
7635,37340,0.55,-0.03,415,Whitsunday (R),0.657,6722,-0.11,Qld,728,0.32,290,250,15974,212
367,37400,0.43,-0.95,26,Winton (S),0.564,308,-0.78,Qld,29,-0.48,473,487,981,418
34,37550,0.278,-2.11,3,Woorabinda (S),0.156,35,-2.02,Qld,39,-4,538,555,273,545
14,37570,0.373,-1.38,0,Wujal Wujal (S),0.157,11,-1.83,Qld,17,-3.99,508,549,83,544
71,37600,0.247,-2.35,3,Yarrabah (S),0.168,71,-2,Qld,36,-3.9,546,554,445,543
6397,40070,0.667,0.87,262,Adelaide (C),0.748,6115,1.35,SA,586,1.11,125,50,10862,60
10349,40120,0.746,1.47,662,Adelaide Hills (DC),0.756,10290,1.15,SA,388,1.18,23,65,15283,49
6138,40220,0.495,-0.45,476,Alexandrina (DC),0.639,6076,-0.15,SA,411,0.17,400,264,14196,244
146,40250,0.204,-2.68,23,Anangu Pitjantjatjara (AC),0.239,126,-1.96,SA,5,-3.29,554,553,855,536
5751,40310,0.658,0.8,327,Barossa (DC),0.67,5704,0.21,SA,318,0.43,135,184,9716,173
575,40430,0.359,-1.49,47,Barunga West (DC),0.549,565,-0.9,SA,49,-0.61,515,505,1869,462
2380,40520,0.538,-0.12,173,Berri and Barmera (DC),0.562,2345,-0.44,SA,180,-0.5,315,377,5077,425
12481,40700,0.715,1.24,567,Burnside (C),0.745,12368,1.32,SA,509,1.09,62,54,18956,62
12300,40910,0.656,0.79,687,Campbelltown (C) (SA),0.573,9393,0.53,SA,623,-0.4,138,135,20744,398
775,41010,0.496,-0.44,38,Ceduna (DC),0.56,713,-0.6,SA,62,-0.52,398,441,1765,432
26424,41060,0.618,0.49,1421,Charles Sturt (C),0.618,26224,0.45,SA,1781,-0.02,191,153,47959,297
2193,41140,0.589,0.28,159,Clare and Gilbert Valleys (DC),0.636,2162,-0.1,SA,152,0.14,220,249,4248,250
426,41190,0.478,-0.58,27,Cleve (DC),0.612,420,-0.42,SA,30,-0.06,433,371,1011,306
376,41330,0.337,-1.66,22,Coober Pedy (DC),0.487,345,-1.13,SA,25,-1.14,528,527,1257,509
3034,41560,0.429,-0.96,242,Copper Coast (DC),0.559,2994,-0.61,SA,193,-0.52,474,444,8089,434
283,41750,0.386,-1.28,21,Elliston (DC),0.601,258,-0.77,SA,21,-0.16,499,484,842,337
419,41830,0.501,-0.41,26,Flinders Ranges (DC),0.582,399,-0.51,SA,42,-0.32,386,410,973,382
291,41960,0.402,-1.16,20,Franklin Harbour (DC),0.589,282,-0.77,SA,20,-0.27,490,485,824,366
5250,42030,0.642,0.67,300,Gawler (T),0.638,5217,0.24,SA,321,0.16,161,182,9151,247
971,42110,0.512,-0.32,92,Goyder (DC),0.567,952,-0.51,SA,71,-0.45,361,407,2215,412
1743,42250,0.555,0.01,176,Grant (DC),0.632,1848,-0.17,SA,115,0.11,275,274,3667,259
10034,42600,0.639,0.65,526,Holdfast Bay (C),0.67,9942,0.65,SA,696,0.43,165,123,17621,172
1129,42750,0.421,-1.01,77,Kangaroo Island (DC),0.62,1105,-0.48,SA,91,0,479,392,3078,294
217,43080,0.416,-1.06,15,Karoonda East Murray (DC),0.523,216,-0.85,SA,14,-0.83,483,497,592,495
253,43220,0.53,-0.18,21,Kimba (DC),0.61,250,-0.39,SA,20,-0.09,332,359,555,310
518,43360,0.382,-1.31,39,Kingston (DC),0.549,508,-0.87,SA,43,-0.61,500,501,1570,461
3408,43650,0.716,1.25,214,Light (RegC),0.707,3388,0.48,SA,175,0.76,60,141,5301,113
1133,43710,0.531,-0.17,97,Lower Eyre Peninsula (DC),0.643,1117,-0.31,SA,74,0.2,328,324,2457,236
2555,43790,0.544,-0.07,265,Loxton Waikerie (DC),0.56,2510,-0.41,SA,177,-0.51,298,367,5506,430
1944,43920,0.679,0.96,184,Mallala (DC),0.663,1936,0.35,SA,128,0.37,111,165,3322,190
5,44000,0.122,-3.31,0,Maralinga Tjarutja (AC),0.324,11,-1.95,SA,0,-2.56,560,552,41,529
22514,44060,0.669,0.88,1177,Marion (C),0.661,22375,0.69,SA,1393,0.36,123,116,37504,196
1875,44210,0.359,-1.49,163,Mid Murray (DC),0.558,1835,-0.81,SA,157,-0.53,516,491,6122,436
17694,44340,0.735,1.39,822,Mitcham (C),0.74,17575,1.2,SA,732,1.04,35,63,26199,69
7897,44550,0.725,1.31,474,Mount Barker (DC),0.72,7840,0.81,SA,460,0.86,51,98,12183,100
6096,44620,0.599,0.35,345,Mount Gambier (C),0.591,5915,-0.13,SA,551,-0.25,209,256,11668,358
